name,iso,id,country,admin_level,category,range_type,range,population_type,population,population_share,population_interval,population_interval_share
Changara,,85939544B96154885816761,MOZ,ADM2,education,DISTANCE,45000,total,52206,38.01,4209,3.06
Changara,,85939544B96154885816761,MOZ,ADM2,education,DISTANCE,50000,school_age,32579,39.69,1380,1.68
Changara,,85939544B96154885816761,MOZ,ADM2,education,DISTANCE,50000,total,54515,39.69,2309,1.68
Chibabava,,85939544B25886081823580,MOZ,ADM2,education,DISTANCE,5000,school_age,0,0.0,0,0.0
Chibabava,,85939544B25886081823580,MOZ,ADM2,education,DISTANCE,5000,total,0,0.0,0,0.0
Chibabava,,85939544B25886081823580,MOZ,ADM2,education,DISTANCE,10000,school_age,60,0.06,60,0.06
Chibabava,,85939544B25886081823580,MOZ,ADM2,education,DISTANCE,10000,total,105,0.06,105,0.06
Chibabava,,85939544B25886081823580,MOZ,ADM2,education,DISTANCE,15000,school_age,329,0.34,269,0.28
Chibabava,,85939544B25886081823580,MOZ,ADM2,education,DISTANCE,15000,total,580,0.34,475,0.28
Chibabava,,85939544B25886081823580,MOZ,ADM2,education,DISTANCE,20000,school_age,2135,2.2,1806,1.86
Chibabava,,85939544B25886081823580,MOZ,ADM2,education,DISTANCE,20000,total,3756,2.2,3176,1.86
Chibabava,,85939544B25886081823580,MOZ,ADM2,education,DISTANCE,25000,school_age,4038,4.16,1903,1.96
Chibabava,,85939544B25886081823580,MOZ,ADM2,education,DISTANCE,25000,total,7105,4.16,3349,1.96
Chibabava,,85939544B25886081823580,MOZ,ADM2,education,DISTANCE,30000,school_age,5896,6.08,1858,1.91
Chibabava,,85939544B25886081823580,MOZ,ADM2,education,DISTANCE,30000,total,10373,6.08,3268,1.91
Chibabava,,85939544B25886081823580,MOZ,ADM2,education,DISTANCE,35000,school_age,8148,8.4,2252,2.32
Chibabava,,85939544B25886081823580,MOZ,ADM2,education,DISTANCE,35000,total,14334,8.4,3961,2.32
Chibabava,,85939544B25886081823580,MOZ,ADM2,education,DISTANCE,40000,school_age,15403,15.87,7255,7.48
Chibabava,,85939544B25886081823580,MOZ,ADM2,education,DISTANCE,40000,total,27098,15.87,12764,7.48
Chibabava,,85939544B25886081823580,MOZ,ADM2,education,DISTANCE,45000,school_age,24300,25.04,8897,9.17
Chibabava,,85939544B25886081823580,MOZ,ADM2,education,DISTANCE,45000,total,42749,25.04,15651,9.17
Chibabava,,85939544B25886081823580,MOZ,ADM2,education,DISTANCE,50000,school_age,26300,27.1,2000,2.06
Chibabava,,85939544B25886081823580,MOZ,ADM2,education,DISTANCE,50000,total,46268,27.1,3519,2.06
Chibuto,,85939544B98651386750815,MOZ,ADM2,education,DISTANCE,5000,school_age,9627,7.36,9627,7.36
Chibuto,,85939544B98651386750815,MOZ,ADM2,education,DISTANCE,5000,total,18094,7.36,18094,7.36
Chibuto,,85939544B98651386750815,MOZ,ADM2,education,DISTANCE,10000,school_age,43428,33.21,33801,25.85
Chibuto,,85939544B98651386750815,MOZ,ADM2,education,DISTANCE,10000,total,81626,33.21,63532,25.85
